game_count,p1,p1_score,p2,p2_score
502,greedy,15,random,49
503,greedy,19,random,28
504,greedy,20,random,50
505,greedy,25,random,52
506,greedy,17,random,41
507,greedy,20,random,29
508,greedy,24,random,33
509,greedy,30,random,33
510,greedy,21,random,29
511,greedy,13,random,63
512,greedy,12,random,46
513,greedy,9,random,38
514,greedy,29,random,45
515,greedy,16,random,50
516,greedy,27,random,33
517,greedy,23,random,29
518,greedy,29,random,57
519,greedy,12,random,29
520,greedy,26,random,37
521,greedy,18,random,29
522,greedy,17,random,42
523,greedy,15,random,21
524,greedy,13,random,44
525,greedy,22,random,25
526,greedy,16,random,46
527,greedy,22,random,44
528,greedy,22,random,38
529,greedy,19,random,33
530,greedy,18,random,33
531,greedy,21,random,34
532,greedy,20,random,55
533,greedy,14,random,42
534,greedy,15,random,51
535,greedy,15,random,70
536,greedy,15,random,62
537,greedy,19,random,45
538,greedy,21,random,31
539,greedy,22,random,24
540,greedy,13,random,48
541,greedy,24,random,55
542,greedy,22,random,29
543,greedy,14,random,50
544,greedy,18,random,24
545,greedy,21,random,40
546,greedy,23,random,34
547,greedy,24,random,29
548,greedy,23,random,34
549,greedy,28,random,24
550,greedy,20,random,45
551,greedy,28,random,37
552,greedy,9,random,43
553,greedy,27,random,29
554,greedy,22,random,33
555,greedy,29,random,42
556,greedy,4,random,51
557,greedy,25,random,41
558,greedy,21,random,63
559,greedy,25,random,20
560,greedy,25,random,50
561,greedy,20,random,29
562,greedy,24,random,35
563,greedy,17,random,37
564,greedy,19,random,47
565,greedy,23,random,45
566,greedy,18,random,38
567,greedy,14,random,32
568,greedy,13,random,29
569,greedy,21,random,33
570,greedy,20,random,23
571,greedy,21,random,31
572,greedy,24,random,21
573,greedy,27,random,45
574,greedy,18,random,40
575,greedy,35,random,27
576,greedy,26,random,24
577,greedy,30,random,32
578,greedy,26,random,37
579,greedy,36,random,34
580,greedy,17,random,47
581,greedy,28,random,25
582,greedy,22,random,33
583,greedy,19,random,28
584,greedy,14,random,48
585,greedy,24,random,60
586,greedy,25,random,24
587,greedy,12,random,50
588,greedy,30,random,47
589,greedy,16,random,41
590,greedy,13,random,44
591,greedy,17,random,20
592,greedy,12,random,59
593,greedy,17,random,48
594,greedy,21,random,35
595,greedy,23,random,24
596,greedy,26,random,33
597,greedy,26,random,37
598,greedy,22,random,23
599,greedy,21,random,26
600,greedy,17,random,32
601,greedy,13,random,54
602,greedy,13,random,36
603,greedy,19,random,24
604,greedy,25,random,25
605,greedy,17,random,41
606,greedy,30,random,25
607,greedy,17,random,33
608,greedy,25,random,60
609,greedy,18,random,49
610,greedy,20,random,50
611,greedy,14,random,45
612,greedy,17,random,51
613,greedy,21,random,29
614,greedy,13,random,35
615,greedy,18,random,33
616,greedy,18,random,46
617,greedy,21,random,37
618,greedy,20,random,54
619,greedy,25,random,47
620,greedy,24,random,28
621,greedy,16,random,34
622,greedy,17,random,33
623,greedy,18,random,44
624,greedy,16,random,28
625,greedy,23,random,33
626,greedy,25,random,36
627,greedy,32,random,30
628,greedy,12,random,47
629,greedy,16,random,50
630,greedy,13,random,49
631,greedy,17,random,36
632,greedy,16,random,27
633,greedy,12,random,33
634,greedy,18,random,42
635,greedy,17,random,30
636,greedy,17,random,34
637,greedy,21,random,39
638,greedy,14,random,29
639,greedy,17,random,25
640,greedy,18,random,36
641,greedy,17,random,41
642,greedy,18,random,19
643,greedy,21,random,41
644,greedy,19,random,24
645,greedy,25,random,29
646,greedy,22,random,18
647,greedy,33,random,32
648,greedy,18,random,41
649,greedy,20,random,47
650,greedy,22,random,33
651,greedy,17,random,28
652,greedy,29,random,51
653,greedy,29,random,38
654,greedy,23,random,53
655,greedy,18,random,57
656,greedy,19,random,34
657,greedy,19,random,43
658,greedy,24,random,24
659,greedy,11,random,55
660,greedy,21,random,46
661,greedy,26,random,33
662,greedy,13,random,59
663,greedy,17,random,28
664,greedy,21,random,27
665,greedy,22,random,31
666,greedy,21,random,58
667,greedy,17,random,53
668,greedy,13,random,38
669,greedy,16,random,65
670,greedy,8,random,52
671,greedy,22,random,24
672,greedy,20,random,31
673,greedy,20,random,29
674,greedy,27,random,42
675,greedy,4,random,59
676,greedy,17,random,35
677,greedy,17,random,38
678,greedy,25,random,23
679,greedy,35,random,24
680,greedy,20,random,31
681,greedy,9,random,63
682,greedy,26,random,33
683,greedy,26,random,33
684,greedy,26,random,23
685,greedy,21,random,32
686,greedy,21,random,51
687,greedy,18,random,29
688,greedy,27,random,43
689,greedy,21,random,52
690,greedy,13,random,54
691,greedy,31,random,48
692,greedy,24,random,29
693,greedy,26,random,29
694,greedy,23,random,37
695,greedy,17,random,23
696,greedy,16,random,53
697,greedy,30,random,56
698,greedy,22,random,37
699,greedy,17,random,33
700,greedy,18,random,34
701,greedy,18,random,20
702,greedy,28,random,42
703,greedy,21,random,43
704,greedy,17,random,37
705,greedy,32,random,34
706,greedy,25,random,49
707,greedy,29,random,29
708,greedy,21,random,42
709,greedy,18,random,28
710,greedy,15,random,32
711,greedy,29,random,44
712,greedy,16,random,56
713,greedy,17,random,56
714,greedy,18,random,28
715,greedy,24,random,38
716,greedy,21,random,29
717,greedy,20,random,32
718,greedy,15,random,40
719,greedy,20,random,44
720,greedy,13,random,55
721,greedy,9,random,52
722,greedy,15,random,32
723,greedy,20,random,29
724,greedy,12,random,32
725,greedy,18,random,48
726,greedy,21,random,34
727,greedy,20,random,42
728,greedy,21,random,37
729,greedy,10,random,51
730,greedy,28,random,32
731,greedy,29,random,52
732,greedy,27,random,34
733,greedy,27,random,27
734,greedy,21,random,45
735,greedy,20,random,51
736,greedy,22,random,54
737,greedy,20,random,54
738,greedy,15,random,52
739,greedy,27,random,42
740,greedy,23,random,24
741,greedy,25,random,37
742,greedy,26,random,48
743,greedy,19,random,28
744,greedy,32,random,29
745,greedy,18,random,50
746,greedy,18,random,52
747,greedy,16,random,58
748,greedy,17,random,51
749,greedy,29,random,28
750,greedy,21,random,48
751,greedy,19,random,29
752,greedy,16,random,57
753,greedy,22,random,51
754,greedy,27,random,34
755,greedy,14,random,27
756,greedy,21,random,19
757,greedy,20,random,32
758,greedy,9,random,47
759,greedy,26,random,54
760,greedy,22,random,38
761,greedy,22,random,34
762,greedy,18,random,38
763,greedy,17,random,36
764,greedy,31,random,19
765,greedy,20,random,49
766,greedy,24,random,24
767,greedy,16,random,31
768,greedy,17,random,42
769,greedy,32,random,41
770,greedy,25,random,36
771,greedy,18,random,34
772,greedy,13,random,49
773,greedy,23,random,43
774,greedy,27,random,24
775,greedy,21,random,39
776,greedy,18,random,33
777,greedy,18,random,29
778,greedy,23,random,36
779,greedy,17,random,62
780,greedy,13,random,65
781,greedy,26,random,45
782,greedy,31,random,38
783,greedy,15,random,48
784,greedy,18,random,33
785,greedy,17,random,58
786,greedy,11,random,55
787,greedy,26,random,33
788,greedy,9,random,42
789,greedy,23,random,38
790,greedy,24,random,29
791,greedy,22,random,40
792,greedy,19,random,35
793,greedy,23,random,38
794,greedy,23,random,19
795,greedy,13,random,59
796,greedy,13,random,54
797,greedy,19,random,42
798,greedy,24,random,24
799,greedy,18,random,37
800,greedy,24,random,33
801,greedy,18,random,49
802,greedy,18,random,57
803,greedy,16,random,28
804,greedy,17,random,49
805,greedy,17,random,26
806,greedy,22,random,60
807,greedy,16,random,56
808,greedy,9,random,65
809,greedy,14,random,52
810,greedy,22,random,37
811,greedy,16,random,57
812,greedy,18,random,47
813,greedy,16,random,51
814,greedy,24,random,22
815,greedy,20,random,41
816,greedy,14,random,54
817,greedy,20,random,52
818,greedy,23,random,54
819,greedy,19,random,28
820,greedy,26,random,48
821,greedy,17,random,46
822,greedy,14,random,32
823,greedy,23,random,19
824,greedy,25,random,42
825,greedy,21,random,22
826,greedy,13,random,45
827,greedy,20,random,38
828,greedy,21,random,59
829,greedy,18,random,47
830,greedy,17,random,44
831,greedy,13,random,50
832,greedy,26,random,38
833,greedy,10,random,51
834,greedy,14,random,32
835,greedy,18,random,39
836,greedy,18,random,37
837,greedy,19,random,30
838,greedy,23,random,51
839,greedy,26,random,24
840,greedy,19,random,48
841,greedy,20,random,49
842,greedy,30,random,33
843,greedy,24,random,28
844,greedy,20,random,32
845,greedy,24,random,38
846,greedy,17,random,28
847,greedy,29,random,56
848,greedy,25,random,23
849,greedy,20,random,43
850,greedy,16,random,47
851,greedy,30,random,28
852,greedy,29,random,48
853,greedy,18,random,29
854,greedy,24,random,32
855,greedy,16,random,55
856,greedy,21,random,29
857,greedy,12,random,56
858,greedy,23,random,42
859,greedy,23,random,37
860,greedy,22,random,38
861,greedy,19,random,46
862,greedy,25,random,38
863,greedy,19,random,37
864,greedy,25,random,29
865,greedy,14,random,28
866,greedy,16,random,51
867,greedy,23,random,34
868,greedy,16,random,47
869,greedy,30,random,36
870,greedy,21,random,23
871,greedy,18,random,38
